"scenario_value","empirical_crude","empirical_adjusted","truth","theoretical_crude","theoretical_adjusted"
-1,0.0176793553251277,0.0370742397620083,0.000881932364817317,0.0192483108710998,0.0378473903972327
-0.9,0.0196330843190332,0.0370742397620084,0.00087094870158555,0.0212457870685487,0.0378967185746046
-0.8,0.0217750792938229,0.0370742397620083,0.000847830752005729,0.0234233487998257,0.0379491479921765
-0.7,0.0240841673772905,0.0370742397620083,0.000809826847786022,0.0257563119993936,0.038004355618374
-0.6,0.0265148780818241,0.0370742397620084,0.000754281533831724,0.0281951329694058,0.0380620637599516
-0.5,0.0289902127142826,0.0370742397620083,0.000679055360032599,0.0306583695988959,0.0381220374177456
-0.4,0.0313972371797173,0.0370742397620083,0.000583063735563771,0.0330286285745287,0.038184082297057
-0.3,0.0335894740764577,0.0370742397620082,0.000466836811348459,0.0351555024432787,0.038248043359407
-0.2,0.0354001082437262,0.0370742397620081,0.000332935707186122,0.0368695154509074,0.0383138038332286
-0.1,0.0366673058838661,0.0370742397620083,0.000186041557356798,0.0380083196660621,0.0383812846258303
0,0.0372671457584525,0.0370742397620082,3.25940039478945e-05,0.0384504440994618,0.0384504440994618
0.1,0.0371433934624109,0.0370742397620085,0.000120014082178765,0.0381454613718891,0.0385212781918805
0.2,0.0363216624408695,0.0370742397620084,0.000264520712208616,0.0371277253521097,0.0385938208774755
0.3,0.0349014828782387,0.0370742397620082,0.00039486703241931,0.0355071087004186,0.0386681449796424
0.4,0.0330302682354189,0.0370742397620084,0.00050694778880439,0.0334411358085325,0.0387443633594993
0.5,0.0308707212928039,0.0370742397620083,0.000598856468390807,0.0311007521528911,0.0388226305209832
0.6,0.0285732915738505,0.0370742397620082,0.000670650277259988,0.0286418795974539,0.0389031446887416
0.7,0.0262597692868907,0.0370742397620083,0.000723821347978548,0.0261889426074059,0.03898615043406
0.8,0.0240179913639905,0.0370742397620083,0.000760696814259443,0.0238300856897979,0.0390719419466056
0.9,0.021904223232609,0.0370742397620083,0.000783926308259075,0.0216202913370052,0.039160867077682
1,0.0199492673879504,0.0370742397620084,0.000796123025985862,0.0195881853508947,0.0392533323161384
